Common name;Scientific name;Status;No.;No. Back
Golden-crowned Kinglet;Regulus satrapa;;206;210
Ruby-crowned Kinglet;Regulus calendula;;363;613
Spotted Elachura;Elachura formosa;;73;1
Yellow-bellied Hyliota;Hyliota flavigaster;;8;1
Southern Hyliota;Hyliota australis;;7;0
Usambara Hyliota;Hyliota usambara;;1;0
Violet-backed Hyliota;Hyliota violacea;;0;0
White-headed Wren;Campylorhynchus albobrunneus;;24;0
Band-backed Wren;Campylorhynchus zonatus;;107;42
Grey-barred Wren;Campylorhynchus megalopterus;;30;13
Stripe-backed Wren;Campylorhynchus nuchalis;;22;3
Fasciated Wren;Campylorhynchus fasciatus;;75;42
Giant Wren;Campylorhynchus chiapensis;;35;9
Bicolored Wren;Campylorhynchus griseus;;101;47
Rufous-naped Wren;Campylorhynchus rufinucha;;11;11
Sclater's Wren;Campylorhynchus humilis;;17;2
Rufous-backed Wren;Campylorhynchus capistratus;;78;69
Spotted Wren;Campylorhynchus gularis;;48;27
Boucard's Wren;Campylorhynchus jocosus;;19;3
Yucatan Wren;Campylorhynchus yucatanicus;;10;0
Cactus Wren;Campylorhynchus brunneicapillus;;185;585
Thrush-like Wren;Campylorhynchus turdinus;;166;479
Grey-mantled Wren;Odontorchilus branickii;;32;5
Tooth-billed Wren;Odontorchilus cinereus;;44;11
Rock Wren;Salpinctes obsoletus;;124;54
Canyon Wren;Catherpes mexicanus;;224;242
Sumichrast's Wren;Hylorchilus sumichrasti;;36;0
Nava's Wren;Hylorchilus navai;;26;5
Rufous Wren;Cinnycerthia unirufa;;130;10
Sepia-brown Wren;Cinnycerthia olivascens;;138;15
Peruvian Wren;Cinnycerthia peruana;;31;2
Fulvous Wren;Cinnycerthia fulva;;12;0
Sedge Wren;Cistothorus stellaris;;145;85
Merida Wren;Cistothorus meridae;;7;0
Apolinar's Wren;Cistothorus apolinari;;147;3
Grass Wren;Cistothorus platensis;;308;38
Marsh Wren;Cistothorus palustris;;418;390
Bewick's Wren;Thryomanes bewickii;;653;745
Zapata Wren;Ferminia cerverai;;24;0
Black-throated Wren;Pheugopedius atrogularis;;29;6
Sooty-headed Wren;Pheugopedius spadix;;85;13
Black-bellied Wren;Pheugopedius fasciatoventris;;132;114
Plain-tailed Wren;Pheugopedius euophrys;;111;36
Inca Wren;Pheugopedius eisenmanni;;32;4
Moustached Wren;Pheugopedius genibarbis;;215;572
Whiskered Wren;Pheugopedius mystacalis;;233;63
Coraya Wren;Pheugopedius coraya;;227;80
Happy Wren;Pheugopedius felix;;104;113
Spot-breasted Wren;Pheugopedius maculipectus;;168;89
Rufous-breasted Wren;Pheugopedius rutilus;;146;56
Speckle-breasted Wren;Pheugopedius sclateri;;127;51
Banded Wren;Thryophilus pleurostictus;;147;57
Rufous-and-white Wren;Thryophilus rufalbus;;186;106
Antioquia Wren;Thryophilus sernai;;74;1
Niceforo's Wren;Thryophilus nicefori;;100;3
Sinaloa Wren;Thryophilus sinaloa;;140;363
Cabanis's Wren;Cantorchilus modestus;;142;74
Canebrake Wren;Cantorchilus zeledoni;;12;0
Isthmian Wren;Cantorchilus elutus;;57;26
Buff-breasted Wren;Cantorchilus leucotis;;370;408
Superciliated Wren;Cantorchilus superciliaris;;74;30
Fawn-breasted Wren;Cantorchilus guarayanus;;86;69
Long-billed Wren;Cantorchilus longirostris;;184;108
Grey Wren;Cantorchilus griseus;;8;0
Riverside Wren;Cantorchilus semibadius;;69;13
Bay Wren;Cantorchilus nigricapillus;;235;92
Stripe-breasted Wren;Cantorchilus thoracicus;;63;12
Stripe-throated Wren;Cantorchilus leucopogon;;46;36
Carolina Wren;Thryothorus ludovicianus;;537;914
Eurasian Wren;Troglodytes troglodytes;;2498;8600
Winter Wren;Troglodytes hiemalis;;234;117
Pacific Wren;Troglodytes pacificus;;216;60
Clarion Wren;Troglodytes tanneri;;1;0
House Wren;Troglodytes aedon;;1459;2385
Cobb's Wren;Troglodytes cobbi;;6;0
Socorro Wren;Troglodytes sissonii;;2;0
Rufous-browed Wren;Troglodytes rufociliatus;;63;41
Ochraceous Wren;Troglodytes ochraceus;;33;8
Mountain Wren;Troglodytes solstitialis;;181;71
Santa Marta Wren;Troglodytes monticola;;14;0
Tepui Wren;Troglodytes rufulus;;17;0
Timberline Wren;Thryorchilus browni;;34;1
White-bellied Wren;Uropsila leucogastra;;54;19
White-breasted Wood Wren;Henicorhina leucosticta;;552;146
Grey-breasted Wood Wren;Henicorhina leucophrys;;906;504
Hermit Wood Wren;Henicorhina anachoreta;;31;0
Bar-winged Wood Wren;Henicorhina leucoptera;;75;1
Munchique Wood Wren;Henicorhina negreti;;85;11
Northern Nightingale-Wren;Microcerculus philomela;;54;3
Southern Nightingale-Wren;Microcerculus marginatus;;289;210
Flutist Wren;Microcerculus ustulatus;;35;3
Wing-banded Wren;Microcerculus bambla;;49;7
Chestnut-breasted Wren;Cyphorhinus thoracicus;;170;9
Musician Wren;Cyphorhinus arada;;135;18
Song Wren;Cyphorhinus phaeocephalus;;92;43
Collared Gnatwren;Microbates collaris;;60;7
Tawny-faced Gnatwren;Microbates cinereiventris;;103;72
Trilling Gnatwren;Ramphocaenus melanurus;;475;351
Chattering Gnatwren;Ramphocaenus sticturus;;27;1
Blue-grey Gnatcatcher;Polioptila caerulea;;294;404
Black-tailed Gnatcatcher;Polioptila melanura;;111;38
California Gnatcatcher;Polioptila californica;;56;17
Cuban Gnatcatcher;Polioptila lembeyei;;6;0
White-lored Gnatcatcher;Polioptila albiloris;;35;12
Black-capped Gnatcatcher;Polioptila nigriceps;;73;12
Tropical Gnatcatcher;Polioptila plumbea;;244;192
Creamy-bellied Gnatcatcher;Polioptila lactea;;26;2
Guianan Gnatcatcher;Polioptila guianensis;;0;0
Rio Negro Gnatcatcher;Polioptila facilis;;1;0
Para Gnatcatcher;Polioptila paraensis;;11;1
Inambari Gnatcatcher;Polioptila attenboroughi;;1;0
Iquitos Gnatcatcher;Polioptila clementsi;;6;0
Slate-throated Gnatcatcher;Polioptila schistaceigula;;16;2
Masked Gnatcatcher;Polioptila dumicola;;179;51
Eurasian Nuthatch;Sitta europaea;;1233;2102
Siberian Nuthatch;Sitta arctica;;0;0
Chestnut-vented Nuthatch;Sitta nagaensis;;33;7
Kashmir Nuthatch;Sitta cashmirensis;;4;1
Indian Nuthatch;Sitta castanea;;11;1
Chestnut-bellied Nuthatch;Sitta cinnamoventris;;32;6
Burmese Nuthatch;Sitta neglecta;;5;0
White-tailed Nuthatch;Sitta himalayensis;;41;6
White-browed Nuthatch;Sitta victoriae;;9;0
Pygmy Nuthatch;Sitta pygmaea;;115;249
Brown-headed Nuthatch;Sitta pusilla;;59;28
Corsican Nuthatch;Sitta whiteheadi;;56;1
Algerian Nuthatch;Sitta ledanti;;28;0
Krper's Nuthatch;Sitta krueperi;;31;1
Yunnan Nuthatch;Sitta yunnanensis;;11;0
Red-breasted Nuthatch;Sitta canadensis;;214;320
Chinese Nuthatch;Sitta villosa;;27;0
White-cheeked Nuthatch;Sitta leucopsis;;5;3
Przevalski's Nuthatch;Sitta przewalskii;;13;0
White-breasted Nuthatch;Sitta carolinensis;;392;659
Western Rock Nuthatch;Sitta neumayer;;38;8
Eastern Rock Nuthatch;Sitta tephronota;;33;9
Velvet-fronted Nuthatch;Sitta frontalis;;47;5
Yellow-billed Nuthatch;Sitta solangiae;;9;0
Sulphur-billed Nuthatch;Sitta oenochlamys;;9;0
Blue Nuthatch;Sitta azurea;;6;3
Giant Nuthatch;Sitta magna;;15;0
Beautiful Nuthatch;Sitta formosa;;14;1
Wallcreeper;Tichodroma muraria;;31;0
Eurasian Treecreeper;Certhia familiaris;;780;590
Hodgson's Treecreeper;Certhia hodgsoni;;16;2
Brown Creeper;Certhia americana;;302;195
Short-toed Treecreeper;Certhia brachydactyla;;774;1772
Bar-tailed Treecreeper;Certhia himalayana;;21;2
Rusty-flanked Treecreeper;Certhia nipalensis;;2;1
Sikkim Treecreeper;Certhia discolor;;21;3
Hume's Treecreeper;Certhia manipurensis;;17;0
Sichuan Treecreeper;Certhia tianquanensis;;10;0
Indian Spotted Creeper;Salpornis spilonota;;5;0
African Spotted Creeper;Salpornis salvadori;;27;1
Grey Catbird;Dumetella carolinensis;;394;450
Black Catbird;Melanoptila glabrirostris;;41;4
Northern Mockingbird;Mimus polyglottos;;386;785
Tropical Mockingbird;Mimus gilvus;;206;85
Bahama Mockingbird;Mimus gundlachii;;23;4
Chilean Mockingbird;Mimus thenca;;27;4
Long-tailed Mockingbird;Mimus longicaudatus;;62;136
Chalk-browed Mockingbird;Mimus saturninus;;138;42
Patagonian Mockingbird;Mimus patagonicus;;35;1
White-banded Mockingbird;Mimus triurus;;26;0
Brown-backed Mockingbird;Mimus dorsalis;;16;3
Galapagos Mockingbird;Mimus parvulus;;20;3
Floreana Mockingbird;Mimus trifasciatus;;1;0
Espanola Mockingbird;Mimus macdonaldi;;10;0
San Cristobal Mockingbird;Mimus melanotis;;7;0
Socorro Mockingbird;Mimus graysoni;;2;0
Sage Thrasher;Oreoscoptes montanus;;51;21
Brown Thrasher;Toxostoma rufum;;178;98
Long-billed Thrasher;Toxostoma longirostre;;52;23
Cozumel Thrasher;Toxostoma guttatum;;1;0
Grey Thrasher;Toxostoma cinereum;;17;16
Bendire's Thrasher;Toxostoma bendirei;;49;4
Ocellated Thrasher;Toxostoma ocellatum;;27;4
Curve-billed Thrasher;Toxostoma curvirostre;;425;295
California Thrasher;Toxostoma redivivum;;122;88
Crissal Thrasher;Toxostoma crissale;;124;45
LeConte's Thrasher;Toxostoma lecontei;;36;0
White-breasted Thrasher;Ramphocinclus brachyurus;;9;0
Blue Mockingbird;Melanotis caerulescens;;188;136
Blue-and-white Mockingbird;Melanotis hypoleucus;;41;4
Scaly-breasted Thrasher;Allenia fusca;;2;1
Pearly-eyed Thrasher;Margarops fuscatus;;24;39
Brown Trembler;Cinclocerthia ruficauda;;9;0
Grey Trembler;Cinclocerthia gutturalis;;7;0
Metallic Starling;Aplonis metallica;;58;15
Violet-hooded Starling;Aplonis circumscripta;;0;0
Yellow-eyed Starling;Aplonis mystacea;;0;0
Singing Starling;Aplonis cantoroides;;9;0
Tanimbar Starling;Aplonis crassa;;4;0
Atoll Starling;Aplonis feadensis;;1;0
Rennell Starling;Aplonis insularis;;1;0
Long-tailed Starling;Aplonis magna;;14;0
White-eyed Starling;Aplonis brunneicapillus;;2;0
Brown-winged Starling;Aplonis grandis;;16;0
Makira Starling;Aplonis dichroa;;3;1
Rusty-winged Starling;Aplonis zelandica;;1;0
Striated Starling;Aplonis striata;;8;0
Tasman Starling;Aplonis fusca;Extinct;0;0
Mountain Starling;Aplonis santovestris;;0;0
Asian Glossy Starling;Aplonis panayensis;;46;17
Moluccan Starling;Aplonis mysolensis;;12;1
Short-tailed Starling;Aplonis minor;;13;3
Micronesian Starling;Aplonis opaca;;21;7
Pohnpei Starling;Aplonis pelzelni;;0;0
Polynesian Starling;Aplonis tabuensis;;17;4
Samoan Starling;Aplonis atrifusca;;15;14
Kosrae Starling;Aplonis corvina;Extinct;0;0
Mauke Starling;Aplonis mavornata;Extinct;0;0
Rarotonga Starling;Aplonis cinerascens;;2;0
Yellow-faced Myna;Mino dumontii;;27;33
Long-tailed Myna;Mino kreffti;;28;4
Golden Myna;Mino anais;;8;3
Sulawesi Myna;Basilornis celebensis;;5;0
Helmeted Myna;Basilornis galeatus;;3;0
Long-crested Myna;Basilornis corythaix;;2;0
Apo Myna;Basilornis mirandus;;10;0
Coleto;Sarcops calvus;;27;2
White-necked Myna;Streptocitta albicollis;;5;0
Bare-eyed Myna;Streptocitta albertinae;;0;0
Fiery-browed Starling;Enodes erythrophris;;5;0
Grosbeak Starling;Scissirostrum dubium;;12;1
Spot-winged Starling;Saroglossa spilopterus;;6;0
Golden-crested Myna;Ampeliceps coronatus;;2;1
Sri Lanka Hill Myna;Gracula ptilogenys;;13;0
Common Hill Myna;Gracula religiosa;;137;39
Southern Hill Myna;Gracula indica;;36;8
Nias Hill Myna;Gracula robusta;;8;0
Enggano Hill Myna;Gracula enganensis;;4;0
Great Myna;Acridotheres grandis;;16;6
Crested Myna;Acridotheres cristatellus;;30;11
Javan Myna;Acridotheres javanicus;;30;23
Pale-bellied Myna;Acridotheres cinereus;;0;0
Jungle Myna;Acridotheres fuscus;;28;8
Collared Myna;Acridotheres albocinctus;;1;0
Bank Myna;Acridotheres ginginianus;;11;1
Common Myna;Acridotheres tristis;;233;310
Black-winged Starling;Acridotheres melanopterus;;6;0
Vinous-breasted Starling;Acridotheres burmannicus;;19;1
Red-billed Starling;Spodiopsar sericeus;;15;0
White-cheeked Starling;Spodiopsar cineraceus;;57;29
Black-collared Starling;Gracupica nigricollis;;34;15
Pied Myna;Gracupica contra;;20;8
Daurian Starling;Agropsar sturninus;;11;0
Chestnut-cheeked Starling;Agropsar philippensis;;18;0
White-shouldered Starling;Sturnia sinensis;;9;0
Chestnut-tailed Starling;Sturnia malabarica;;20;0
White-headed Starling;Sturnia erythropygia;;4;0
Malabar Starling;Sturnia blythii;;7;0
Brahminy Starling;Sturnia pagodarum;;28;3
White-faced Starling;Sturnornis albofrontatus;;4;0
Bali Myna;Leucopsar rothschildi;;26;1
Hoopoe Starling;Fregilupus varius;Extinct;0;0
Rodrigues Starling;Necropsar rodericanus;Extinct;0;0
Rosy Starling;Pastor roseus;;63;0
Common Starling;Sturnus vulgaris;;1015;2006
Spotless Starling;Sturnus unicolor;;217;1185
Wattled Starling;Creatophora cinerea;;26;0
Black-bellied Starling;Notopholia corusca;;28;4
Purple-headed Starling;Hylopsar purpureiceps;;4;0
Copper-tailed Starling;Hylopsar cupreocauda;;9;6
Cape Starling;Lamprotornis nitens;;22;11
Greater Blue-eared Starling;Lamprotornis chalybaeus;;58;19
Lesser Blue-eared Starling;Lamprotornis chloropterus;;13;7
Miombo Blue-eared Starling;Lamprotornis elisabeth;;15;1
Bronze-tailed Starling;Lamprotornis chalcurus;;6;2
Splendid Starling;Lamprotornis splendidus;;64;29
Principe Starling;Lamprotornis ornatus;;5;0
Emerald Starling;Lamprotornis iris;;1;0
Purple Starling;Lamprotornis purpureus;;6;4
Rppell's Starling;Lamprotornis purpuroptera;;41;11
Long-tailed Glossy Starling;Lamprotornis caudatus;;46;41
Golden-breasted Starling;Lamprotornis regius;;4;1
Meves's Starling;Lamprotornis mevesii;;22;20
Burchell's Starling;Lamprotornis australis;;23;3
Sharp-tailed Starling;Lamprotornis acuticaudus;;6;0
Superb Starling;Lamprotornis superbus;;53;15
Hildebrandt's Starling;Lamprotornis hildebrandti;;14;1
Shelley's Starling;Lamprotornis shelleyi;;7;0
Chestnut-bellied Starling;Lamprotornis pulcher;;8;7
Ashy Starling;Lamprotornis unicolor;;12;1
Fischer's Starling;Lamprotornis fischeri;;2;0
Pied Starling;Lamprotornis bicolor;;17;16
White-crowned Starling;Lamprotornis albicapillus;;7;0
Madagascan Starling;Hartlaubius auratus;;3;0
Violet-backed Starling;Cinnyricinclus leucogaster;;26;7
Red-winged Starling;Onychognathus morio;;35;19
Slender-billed Starling;Onychognathus tenuirostris;;15;0
Chestnut-winged Starling;Onychognathus fulgidus;;2;0
Waller's Starling;Onychognathus walleri;;47;11
Somali Starling;Onychognathus blythii;;5;0
Socotra Starling;Onychognathus frater;;0;0
Tristram's Starling;Onychognathus tristramii;;36;26
Pale-winged Starling;Onychognathus nabouroup;;23;5
Bristle-crowned Starling;Onychognathus salvadorii;;6;0
White-billed Starling;Onychognathus albirostris;;5;0
Neumann's Starling;Onychognathus neumanni;;6;1
Stuhlmann's Starling;Poeoptera stuhlmanni;;7;1
Kenrick's Starling;Poeoptera kenricki;;7;0
Narrow-tailed Starling;Poeoptera lugubris;;0;0
Sharpe's Starling;Poeoptera sharpii;;18;1
Abbott's Starling;Poeoptera femoralis;;4;0
White-collared Starling;Grafisia torquata;;0;0
Magpie Starling;Speculipastor bicolor;;4;0
Babbling Starling;Neocichla gutturalis;;6;0
Stripe-headed Rhabdornis;Rhabdornis mystacalis;;3;0
Stripe-breasted Rhabdornis;Rhabdornis inornatus;;5;0
Grand Rhabdornis;Rhabdornis grandis;;3;0
Yellow-billed Oxpecker;Buphagus africanus;;8;0
Red-billed Oxpecker;Buphagus erythrorynchus;;25;5
Red-tailed Ant Thrush;Neocossyphus rufus;;15;0
White-tailed Ant Thrush;Neocossyphus poensis;;14;0
Fraser's Rufous Thrush;Stizorhina fraseri;;50;19
Finsch's Rufous Thrush;Stizorhina finschi;;21;4
Slaty-backed Thrush;Geokichla schistacea;;19;1
Buru Thrush;Geokichla dumasi;;3;0
Seram Thrush;Geokichla joiceyi;;2;0
Chestnut-capped Thrush;Geokichla interpres;;17;0
Enggano Thrush;Geokichla leucolaema;;5;0
Red-backed Thrush;Geokichla erythronota;;4;0
Red-and-black Thrush;Geokichla mendeni;;6;0
Chestnut-backed Thrush;Geokichla dohertyi;;21;0
Pied Thrush;Geokichla wardii;;1;0
Ashy Thrush;Geokichla cinerea;;12;0
Orange-sided Thrush;Geokichla peronii;;36;6
Orange-headed Thrush;Geokichla citrina;;81;3
Siberian Thrush;Geokichla sibirica;;33;10
Abyssinian Ground Thrush;Geokichla piaggiae;;19;1
Crossley's Ground Thrush;Geokichla crossleyi;;6;3
Orange Ground Thrush;Geokichla gurneyi;;66;22
Oberl„nder's Ground Thrush;Geokichla oberlaenderi;;0;0
Black-eared Ground Thrush;Geokichla camaronensis;;1;0
Grey Ground Thrush;Geokichla princei;;1;0
Spotted Ground Thrush;Geokichla guttata;;23;0
Spot-winged Thrush;Geokichla spiloptera;;28;0
Geomalia;Zoothera heinrichi;;0;0
Everett's Thrush;Zoothera everetti;;3;0
Sunda Thrush;Zoothera andromedae;;2;0
Alpine Thrush;Zoothera mollissima;;9;0
Sichuan Thrush;Zoothera griseiceps;;3;0
Himalayan Thrush;Zoothera salimalii;;6;0
Long-tailed Thrush;Zoothera dixoni;;8;0
White's Thrush;Zoothera aurea;;126;34
Amami Thrush;Zoothera major;;27;1
Scaly Thrush;Zoothera dauma;;6;0
Bonin Thrush;Zoothera terrestris;Extinct;0;0
Nilgiri Thrush;Zoothera neilgherriensis;;0;0
Sri Lanka Thrush;Zoothera imbricata;;2;0
Fawn-breasted Thrush;Zoothera machiki;;2;0
Russet-tailed Thrush;Zoothera heinei;;11;0
Bassian Thrush;Zoothera lunulata;;10;5
Black-backed Thrush;Zoothera talaseae;;0;0
Makira Thrush;Zoothera margaretae;;8;0
Guadalcanal Thrush;Zoothera turipavae;;1;0
Long-billed Thrush;Zoothera monticola;;10;0
Dark-sided Thrush;Zoothera marginata;;3;0
Varied Thrush;Ixoreus naevius;;93;149
Aztec Thrush;Ridgwayia pinicola;;6;1
Sulawesi Thrush;Cataponera turdoides;;3;0
Grandala;Grandala coelicolor;;1;0
Eastern Bluebird;Sialia sialis;;132;107
Western Bluebird;Sialia mexicana;;63;127
Mountain Bluebird;Sialia currucoides;;41;31
Omao;Myadestes obscurus;;27;25
Kamao;Myadestes myadestinus;Extinct;0;0
Puaiohi;Myadestes palmeri;;3;0
Olomao;Myadestes lanaiensis;;0;0
Townsend's Solitaire;Myadestes townsendi;;101;21
Brown-backed Solitaire;Myadestes occidentalis;;186;429
Cuban Solitaire;Myadestes elisabeth;;19;1
Rufous-throated Solitaire;Myadestes genibarbis;;28;8
Black-faced Solitaire;Myadestes melanops;;51;25
Varied Solitaire;Myadestes coloratus;;13;3
Andean Solitaire;Myadestes ralloides;;266;212
Slate-colored Solitaire;Myadestes unicolor;;74;160
Rufous-brown Solitaire;Cichlopsis leucogenys;;34;1
Black-billed Nightingale-Thrush;Catharus gracilirostris;;40;15
Orange-billed Nightingale-Thrush;Catharus aurantiirostris;;363;118
Slaty-backed Nightingale-Thrush;Catharus fuscater;;148;32
Russet Nightingale-Thrush;Catharus occidentalis;;30;18
Ruddy-capped Nightingale-Thrush;Catharus frantzii;;55;25
Black-headed Nightingale-Thrush;Catharus mexicanus;;98;63
Gould's Nightingale-Thrush;Catharus dryas;;24;3
Sclater's Nightingale-Thrush;Catharus maculatus;;85;31
Veery;Catharus fuscescens;;227;163
Grey-cheeked Thrush;Catharus minimus;;121;18
Bicknell's Thrush;Catharus bicknelli;;49;6
Swainson's Thrush;Catharus ustulatus;;588;761
Hermit Thrush;Catharus guttatus;;342;438
Wood Thrush;Hylocichla mustelina;;297;306
Black Solitaire;Entomodestes coracinus;;23;1
White-eared Solitaire;Entomodestes leucotis;;32;35
Groundscraper Thrush;Turdus litsitsirupa;;24;3
Yellow-legged Thrush;Turdus flavipes;;191;100
Pale-eyed Thrush;Turdus leucops;;70;17
African Thrush;Turdus pelios;;70;37
Bare-eyed Thrush;Turdus tephronotus;;18;7
Kurrichane Thrush;Turdus libonyana;;48;10
Sao Tome Thrush;Turdus olivaceofuscus;;11;0
Principe Thrush;Turdus xanthorhynchus;;2;0
Olive Thrush;Turdus olivaceus;;44;18
Usambara Thrush;Turdus roehli;;6;0
Abyssinian Thrush;Turdus abyssinicus;;48;10
Karoo Thrush;Turdus smithi;;23;13
Somali Thrush;Turdus ludoviciae;;0;0
Taita Thrush;Turdus helleri;;2;0
Yemen Thrush;Turdus menachensis;;13;2
Comoros Thrush;Turdus bewsheri;;10;0
Grey-backed Thrush;Turdus hortulorum;;47;36
Tickell's Thrush;Turdus unicolor;;17;0
Black-breasted Thrush;Turdus dissimilis;;8;0
Japanese Thrush;Turdus cardis;;84;39
White-collared Blackbird;Turdus albocinctus;;23;2
Ring Ouzel;Turdus torquatus;;368;110
Grey-winged Blackbird;Turdus boulboul;;31;2
Common Blackbird;Turdus merula;;4319;14673
Chinese Blackbird;Turdus mandarinus;;18;14
Tibetan Blackbird;Turdus maximus;;7;0
Indian Blackbird;Turdus simillimus;;32;3
Island Thrush;Turdus poliocephalus;;33;6
Chestnut Thrush;Turdus rubrocanus;;25;3
Kessler's Thrush;Turdus kessleri;;15;2
Grey-sided Thrush;Turdus feae;;8;1
Eyebrowed Thrush;Turdus obscurus;;95;10
Pale Thrush;Turdus pallidus;;98;92
Brown-headed Thrush;Turdus chrysolaus;;52;8
Izu Thrush;Turdus celaenops;;19;0
Black-throated Thrush;Turdus atrogularis;;38;21
Red-throated Thrush;Turdus ruficollis;;30;21
Naumann's Thrush;Turdus naumanni;;16;1
Dusky Thrush;Turdus eunomus;;85;45
Fieldfare;Turdus pilaris;;839;1039
Redwing;Turdus iliacus;;1007;936
Song Thrush;Turdus philomelos;;2877;6848
Chinese Thrush;Turdus mupinensis;;12;5
Mistle Thrush;Turdus viscivorus;;697;801
Great Thrush;Turdus fuscater;;221;151
Chiguanco Thrush;Turdus chiguanco;;124;50
Sooty Thrush;Turdus nigrescens;;14;3
Black Thrush;Turdus infuscatus;;47;82
Glossy-black Thrush;Turdus serranus;;111;138
Andean Slaty Thrush;Turdus nigriceps;;67;15
Eastern Slaty Thrush;Turdus subalaris;;63;9
Plumbeous-backed Thrush;Turdus reevei;;39;29
Black-hooded Thrush;Turdus olivater;;36;3
Maranon Thrush;Turdus maranonicus;;21;20
Chestnut-bellied Thrush;Turdus fulviventris;;36;6
Rufous-bellied Thrush;Turdus rufiventris;;368;451
Austral Thrush;Turdus falcklandii;;101;23
Pale-breasted Thrush;Turdus leucomelas;;309;414
Creamy-bellied Thrush;Turdus amaurochalinus;;125;108
Mountain Thrush;Turdus plebejus;;34;9
Black-billed Thrush;Turdus ignobilis;;130;126
Lawrence's Thrush;Turdus lawrencii;;85;205
Cocoa Thrush;Turdus fumigatus;;43;20
Pale-vented Thrush;Turdus obsoletus;;33;14
Hauxwell's Thrush;Turdus hauxwelli;;84;210
Unicolored Thrush;Turdus haplochrous;;12;0
Clay-colored Thrush;Turdus grayi;;272;426
Spectacled Thrush;Turdus nudigenis;;75;28
Varzea Thrush;Turdus sanchezorum;;12;1
Ecuadorian Thrush;Turdus maculirostris;;44;38
White-eyed Thrush;Turdus jamaicensis;;2;0
White-throated Thrush;Turdus assimilis;;115;188
Dagua Thrush;Turdus daguae;;23;31
White-necked Thrush;Turdus albicollis;;199;307
Rufous-backed Thrush;Turdus rufopalliatus;;143;244
Rufous-collared Thrush;Turdus rufitorques;;25;4
American Robin;Turdus migratorius;;633;2226
La Selle Thrush;Turdus swalesi;;7;0
White-chinned Thrush;Turdus aurantius;;10;1
Grand Cayman Thrush;Turdus ravidus;Extinct;0;0
Red-legged Thrush;Turdus plumbeus;;41;43
Forest Thrush;Turdus lherminieri;;3;0
Tristan Thrush;Turdus eremita;;6;2
Purple Cochoa;Cochoa purpurea;;4;0
Green Cochoa;Cochoa viridis;;25;3
Sumatran Cochoa;Cochoa beccarii;;1;0
Javan Cochoa;Cochoa azurea;;19;0
Fruithunter;Chlamydochaera jefferyi;;9;0
White-tailed Alethe;Alethe diademata;;22;2
Fire-crested Alethe;Alethe castanea;;17;7
Karoo Scrub Robin;Cercotrichas coryphoeus;;49;6
Forest Scrub Robin;Cercotrichas leucosticta;;7;1
Bearded Scrub Robin;Cercotrichas quadrivirgata;;39;15
Miombo Scrub Robin;Cercotrichas barbata;;11;0
Black Scrub Robin;Cercotrichas podobe;;24;12
Rufous-tailed Scrub Robin;Cercotrichas galactotes;;139;9
Kalahari Scrub Robin;Cercotrichas paena;;32;17
Brown-backed Scrub Robin;Cercotrichas hartlaubi;;15;0
White-browed Scrub Robin;Cercotrichas leucophrys;;298;55
Brown Scrub Robin;Cercotrichas signata;;46;8
Indian Robin;Copsychus fulicatus;;57;5
Oriental Magpie-Robin;Copsychus saularis;;401;87
Rufous-tailed Shama;Copsychus pyrropygus;;44;8
Madagascan Magpie-Robin;Copsychus albospecularis;;42;6
Seychelles Magpie-Robin;Copsychus sechellarum;;0;0
Philippine Magpie-Robin;Copsychus mindanensis;;16;2
White-rumped Shama;Copsychus malabaricus;;237;72
Andaman Shama;Copsychus albiventris;;14;0
White-crowned Shama;Copsychus stricklandii;;65;9
White-browed Shama;Copsychus luzoniensis;;38;1
White-vented Shama;Copsychus niger;;19;0
Black Shama;Copsychus cebuensis;;14;0
Fraser's Forest Flycatcher;Fraseria ocreata;;20;3
White-browed Forest Flycatcher;Fraseria cinerascens;;6;0
Grey-throated Tit-Flycatcher;Myioparus griseigularis;;18;9
Grey Tit-Flycatcher;Myioparus plumbeus;;35;7
Angolan Slaty Flycatcher;Melaenornis brunneus;;0;0
White-eyed Slaty Flycatcher;Melaenornis fischeri;;21;7
Abyssinian Slaty Flycatcher;Melaenornis chocolatinus;;9;2
Nimba Flycatcher;Melaenornis annamarulae;;0;0
Yellow-eyed Black Flycatcher;Melaenornis ardesiacus;;7;0
Northern Black Flycatcher;Melaenornis edolioides;;21;2
Southern Black Flycatcher;Melaenornis pammelaina;;20;1
Pale Flycatcher;Melaenornis pallidus;;11;0
Chat Flycatcher;Melaenornis infuscatus;;7;0
African Grey Flycatcher;Melaenornis microrhynchus;;18;1
Marico Flycatcher;Melaenornis mariquensis;;4;1
Fiscal Flycatcher;Melaenornis silens;;40;4
Silverbird;Empidornis semipartitus;;5;0
Spotted Flycatcher;Muscicapa striata;;676;215
Mediterranean Flycatcher;Muscicapa tyrrhenica;;27;3
Gambaga Flycatcher;Muscicapa gambagae;;8;1
Grey-streaked Flycatcher;Muscicapa griseisticta;;185;1
Dark-sided Flycatcher;Muscicapa sibirica;;35;0
Asian Brown Flycatcher;Muscicapa dauurica;;303;41
Sulawesi Streaked Flycatcher;Muscicapa sodhii;;0;0
Brown-streaked Flycatcher;Muscicapa williamsoni;;1;0
Ashy-breasted Flycatcher;Muscicapa randi;;0;0
Sumba Brown Flycatcher;Muscicapa segregata;;3;0
Brown-breasted Flycatcher;Muscicapa muttui;;1;0
